,,,,,,,,,,,,,,,,,,,
,"發表時間
Time","發表者
Presenter","提案形式
Form",錄影以 CC-BY 釋出？,"專案名稱
Project Name","主題
Topic","專案授權
Project License ","是否申請資金池？💰（Y/N）
點我看資金池計畫說明文件","資金池輔佐證明文件連結
（核心成員、明確活動、聯絡方式）","g0v Podcast
松後推坑電台
受訪意願? (Y/?)","共筆／討論連結
HackMD link","目前成果／投影片連結
Slide link","新參者友善（Y/?）
Newcomer-friendly?","專案三個關鍵字
3 Keywords of Project","專案徵人（專長）
Recruitment (talents?)",坑主聯絡方式,youtube url: 專案報告 或是 預錄影片,youtube url: 成果報告,youtube title
09:30開場，09:40提案開始【3分鐘提案報名】每個 present 3min，提案、徵人。,,,,,,,,,,,,,,,,,,,
＊無法實體出席者，建議以預錄影片提案。並將提案影片連結填在欄位「O：youtube url 或是 預錄影片」,,,,,,,,,,,,,,,,,,,
1,9:40,Jas/ Yvonne,實體,y,拉人更輕鬆,資金池計畫說明,cc0,-,,Y,https://docs.google.com/document/d/1ZyUD7BF0z15pLaSEP0hHez1d9T95LlVNNVXdMhWioEY/edit?tab=t.0#heading=h.4k0q8f2japog,https://www.canva.com/design/DAGXK1qtCWQ/LDLOjKKBt9OvxMqygXR4gA/edit?utm_content=DAGXK1qtCWQ&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,Y,平方投票、資金池、青世代專案,,"g0v slack: #拉人更輕鬆 , @yvonne @Jasmine Ta @Vivian",,,g0v tw hackath64n — 提案 — 拉人更輕鬆 ／ Jas/ Yvonne — 黃金比例黑客松
2,9:43,ichieh,實體,y,GAI Conf,麻瓜來用AI寫程式吧 code with ai,,n,,y,https://hackmd.io/@ejc/ryleW7cZkg,https://docs.google.com/presentation/d/1cZ3ClEBLaFOrFtMNSiNK7knoSOtg3oCDlNNCGoa-YE8/edit?usp=sharing,,,,,,,g0v tw hackath64n — 提案 — GAI Conf ／ ichieh — 黃金比例黑客松
3,9:46,Stanley,實體,Y,Shoutout,社群參與、貢獻紀錄匯集,,Y,Shoutout 感謝大聲公 ,Y,,"報告用簡報
目前成果說明",Y,影響力紀錄、激勵機制、社群維運,後端開發人員,"g0v slack channel: da0-shoutout

",,,g0v tw hackath64n — 提案 — Shoutout ／ Stanley — 黃金比例黑客松
4,9:49,irvin,實體,y,irvin,common voice 族語錄音計畫進度 / 繁體中文 CC0 語料庫,cc0,n,,y,https://hackmd.io/@moztw/cv-g0v-64,"簡報 - https://hackmd.io/@moztw/cv-slide

錄音網站 - https://commonvoice.mozilla.org/

語料搜集 - https://github.com/moztw/cc0-sentences/tree/master",Y,國台語族語、語料、錄音,會說寫國 / 台語 / 族語,"g0v slack @irvin
line group - cvline.moztw.space
telegram - t.me/moztwCV",,,g0v tw hackath64n — 提案 — irvin ／ irvin — 黃金比例黑客松
5,9:52,Paul,實體,Y,digiresithon,Meshtastic 推廣及應用開發,"GPL v3, 
CC-BY-SA",Y,,y,s.g0v.tw/resi,https://gamma.app/public/-k2mshk2q40b53ck,Y,,,,,,g0v tw hackath64n — 提案 — digiresithon ／ Paul — 黃金比例黑客松
6,9:55,Annie ,實體,Y,Linux Odyssey,,GPL-3.0,Y,第64次黃金比例黑客松資金池提案申請證明,Y,Linux Odyssey : 從使用、教學、到分享,https://www.canva.com/design/DAGXHjH-hl8/k24vcf7BTTTRL-NyBIeIDw/edit?utm_content=DAGXHjH-hl8&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,Y,開源、程式教育、社群參與,資安、法律諮詢、教育工作者、設計人員,"g0v slack #linux-odyssey
g0v slack @Annie Huang",https://www.youtube.com/watch?v=XzvfmUf1QP8,,g0v tw hackath64n — 提案 — Linux Odyssey ／ Annie  — 黃金比例黑客松
7,9:58,chewei,實體,Y,Collage,Collage 空間改造願景創作工具應用於中正社區大學空間改造工作坊,GNU GPL V3,Y,https://g0v.hackmd.io/Fyg5EQRJQUiCNVgD0Rk41Q,Y,https://g0v.hackmd.io/@chewei/joinplus/https%3A%2F%2Fg0v.hackmd.io%2F8uZcrlPGQmOJAzweskG9Og%3Fview,https://docs.google.com/presentation/d/1uilk4kIXIOhkbFiCUGSW690GvlJkI4hIwOsVlV1xE8o/edit?usp=sharing,Y,空間改造願景工具網頁、拼貼、,前端、工具推廣者,"g0v slack #joinplus-關注公民參與的數位工具
g0v slack @chewei",,,g0v tw hackath64n — 提案 — Collage ／ chewei — 黃金比例黑客松
8,10:01,aokman,實體,,AgriPuzzle,農業松,CC-BY,,,Y,,https://docs.google.com/presentation/d/1EnMFBHt-VRcHKJlW0_ItAaUAAdudZj2_cL4XkL0jH40/edit?usp=drive_link,,農業、嗲塔、坑海,前後端、TXT,g0v slack @a0kman,,,g0v tw hackath64n — 提案 — AgriPuzzle ／ aokman — 黃金比例黑客松
9,10:04,"SeanGau, Jas",實體,,拉人更輕鬆／基礎松,g0v.tw,cc0,N,,Y,https://g0v.hackmd.io/-tK5suPVTgGvhvqZb80DiQ,https://g0v-landing-page.pages.dev/,,基礎建設、g0v 官網、青世代專案,沒有人,"g0v slack #拉人更輕鬆
g0v slack @seangau",,,"g0v tw hackath64n — 提案 — 拉人更輕鬆／基礎松 ／ SeanGau, Jas — 黃金比例黑客松"
10,10:07,peter ,實體,,vtaiwan ,一起來聊！議題小聚,CC-BY-SA ,N,,y,https://g0v.hackmd.io/@tmonk/rJHYWR9S4/%2FGUe0KXMsQBC-6KTIUPBVnA%3Fboth?type=book,https://docs.google.com/presentation/d/1YuxAkcJbYKLMKDCNf-GdeOLHDJ3fyavJShGE08RXIko/edit?usp=sharing,Y,議題小聚、聊天、整理資料,,,,,g0v tw hackath64n — 提案 — vtaiwan  ／ peter  — 黃金比例黑客松
11,10:10,yuyu1015,實體,,DPIP防災資訊整合平台,"DPIP 專案簡介
討論營利模式及天氣預報資料來源",AGPL-3.0,N,,Y,,"https://exptech.com.tw/dpip
https://github.com/ExpTechTW/DPIP
伺服器狀態",Y,程式開發,全端,,,,g0v tw hackath64n — 提案 — DPIP防災資訊整合平台 ／ yuyu1015 — 黃金比例黑客松
12,10:13,bil,實體,,Cofacts 真的假的 & Open165,Cofacts 在旁邊修issue 跟查核假資訊／讓 165 反詐資訊在搜尋引擎上打敗二次詐騙,"MIT, 
CC-BY-SA",N,,Y,https://cofacts.tw/hack,https://docs.google.com/presentation/d/121j3tU3ed5dAAquwJgTIq5MC6iI-t1oIXsDzQeJj96s/edit#slide=id.g28caf866bb2_1_0,Y,程式開發、事實查核、搜尋引擎最佳化,"會 Google 找資料的人
會 NodeJS / ReactJS 的人
SEO 高手、UI / UX Designer",g0v slack #cofacts @mrorz @bil,g0v tw hackath62n — 提案 — Cofacts 真的假的 & Open165 ／ bil —  帶我去月球黑客松,,g0v tw hackath64n — 提案 — Cofacts 真的假的 & Open165 ／ bil — 黃金比例黑客松
