,,,,,,,,,,,,,
 ,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,共筆／討論連結,目前成果／投影片連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
9,10:04,v,johnny,是,議員投票指南 - 送紅包      袋,CC0,https://www.facebook.com/events/798602507005190/,https://councils.g0v.tw/,,,,,
10,10:07,v,ttcat,是,g0v-shadow 影子政府網站,cc by-nc,https://g0v.hackpad.tw/g0v-shadow--ta138sdLdND,,g0v、shadow website、大平台,工程師、UI/UX、設計師,,,
11,10:10,v,積木,是,2018縣市長選舉地圖,CC0,https://hackmd.io/GwDghgJhCmEKwFpogsBAWAzHaCCcATCAOwIAMeYARnAIwTHrpUBmQA==,http://jizz5566.github.io/2010-2016/map.html,選舉 / 投票 / 地圖 / 找褲子,"前端：會寫html/css/javascript/jquey會接API的人
後端：協助將資料轉檔並匯入資料庫
美術：協助網頁切版、設計、畫圖表
文字：會說故事的人
民調分析師：解釋各種選舉統計的意義",,,https://docs.google.com/presentation/d/1L9b-mnnXFTqHKS74HTyi8GbVd-7N_B9ZyKvi1pJVn9Q/edit?usp=sharing
12,10:13,v,子魚,是,Code for Japan(Nanto) 開放資料新手村桌遊中文版,cc by-nc,https://g0v.hackpad.tw/Code-for-JapanNanto--qIrL0tB5POF,https://docs.google.com/presentation/d/1DcPAXMaOFvOLszW2QELnK1uZA2xSpCj2x7TfnfmVnwE/edit?usp=sharing,桌遊 / 挑戰無人駕駛坑,"坑主
主持人
試玩的人
文字：用g0v專案把遊戲本地化",,,
13,10:16,v,子魚,是,vTaiwan：來做Chatbot吧,CC0,https://sense.tw,https://docs.google.com/presentation/d/1fzcl1M43iA_1bqRbY3_r_jgP6OnJwZbrKNUPdkQKbcQ/edit#slide=id.p,公民參與,行銷 / 文編 / 攻城師 / 法律人 / 熟悉問卷設計的人,,,
14,10:19,v,sense.tw,y,線上意見整理工具、線上社群參與政策手冊,MIT,,https://docs.google.com/presentation/d/1mHMtkId9kWDnVgszQVbYxfx4wCJnLXryJ6eIRMnx_CE/edit#slide=id.g2f95f3a2fb_0_10,科技政策、意見整理、公民參與,意見整理者、去政府開會的人、想推議題的人、行銷、積極公民,,,協作手冊大綱：https://g0v.hackpad.tw/sense.tw-113-sZmzBTW1azj
15,10:22,v,ballII,是,推動「未婚女性接受人工生殖」合法化,,https://g0v.hackpad.tw/PxKqJGnlrEn,https://join.gov.tw/idea/detail/53479b9a-8cbb-4ea0-9f16-2294c97f24ac,,文字、資料蒐集閱讀、粉專小編、政府相關人員,,,
16,10:25,v,柏豪,是,勞動相關遊戲計畫,,https://g0v.hackpad.tw/hnC9l7LwwwNGRd,,勞基法/勞工/遊戲,APP開發工程師、小說家、資訊工程師、檔案庫管理者、插畫工作者、音樂工作者、有興趣的朋友（前期提供意見，後期可提供遊戲測試回饋）,,,
17,10:28,v,fi,是,市議員在幹嘛,,https://hackmd.io/EYQw7ArGAMAmDGBaeAWAZtRKDMLMmAA4AmLCYFSAUxGhVhCA,https://docs.google.com/presentation/d/1O6OQb8k8kylwAArEOq522HHX6q8iVUCbpNZf3VbxxYQ/edit?usp=sharing,議員/選舉/智力測驗,"文案寫手、幫忙抓資料、設計師、前端工程師
",,,
18,10:31,v,彭啟明,,天氣風險開放資料,,,,,,,,
19,,,,,HackingMap DEMO,,,https://g0v.github.io/HackingMap,基礎建設,坑主更新專案,,,
,,,== 截止 ==,,,,,,,,,,
"14:30【8分鐘短講報名】
每個 present 8min，分享議題、專案、研究、技術皆可。",,,,,,,,,,,,,
順序,發表時間（自填）,完成,發表者,錄影以 CC-BY 釋出?,主題,,,相關連結,三個關鍵字,專案徵人,,,
1,14:30,,彭啟明,,從氣象看空汙問題,,簡報,,,,,,
2,14:40,,周哲維,,開放氣象資料,,,,,,,,
3,14:50,,weiting,是,阿美語版原住民族基本法,,https://goo.gl/rQiyAi,,阿美語、原基法,可以錄音的人,,,
4,15:00,,子期,是,德國 34C3 見聞,Selected Talks from Ralf,Slides(with photos link),Wiki,駭客、科技、政治,,,,
5,15:10,,揪松團,是,g0v 公民科創新獎助金,,https://grants.g0v.tw/,,,提案、提問,,,https://www.facebook.com/pg/g0v.tw/photos/?tab=album&album_id=1804488836259061
,,,,,,,,,,,,,
,本期開放4位8分鐘,,== 截止 ==,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"17:00【 present project】 規則：於106-7會議室舉行
每個 present 5min，可視 project 數量和剩餘時間調整",,,,,,,,,,,,,
1,17:00,,tkirby,是,揪松網,MIT,,https://jothon.d3b.info,基礎建設,文字,,,
2,17:05,,Daky,是,投票指南app,MIT,,https://github.com/Daky/voter-guide-app,,美術設計,,,
3,17:10,,,,,,,,,,,,
4,17:15,,ttcat,,g0v-shadow 影子政府網站,,https://g0v.hackpad.tw/g0v-shadow--ta138sdLdND,,,,,,
5,17:20,,yutin,是,資動部功德錄,MIT,,https://g0v.github.io/merityuan/,,,,,
6,17:25,,fi,是,市議員在幹嘛,,https://hackmd.io/EYQw7ArGAMAmDGBaeAWAZtRKDMLMmAA4AmLCYFSAUxGhVhCA?both#1-%E5%B8%82%E8%AD%B0%E5%93%A1%E6%9C%83%E7%94%A8%E5%93%AA%E4%BA%9B%E6%96%B9%E5%BC%8F%E7%8D%B2%E5%BE%97%E6%B0%91%E6%84%8F-%EF%BC%9F,https://plotdb.io/v/chart/16624,,,,,
7,17:30,,Starhead,是,"「少點 Less,More」友善環境同溫層App",MIT,,https://docs.google.com/presentation/d/1LZMBng6xYoczslGHaXSsh9zVnPCfykTW9uADAJnN1yY/edit?usp=sharing,,,,,
8,17:35,,ronny,是,求職小幫手,BSD,,,,,,,
9,17:40,,lafin,是,阿美語萌典,MIT,,https://docs.google.com/presentation/d/1Ic-lq29Qo3laOCV4FWUHAKoCxNS08TPn_w3FkoGxBKE/edit?ts=5a54de3e#slide=id.g2ed785607d_0_19,阿美語、台灣原住民語與南島語、原住民族基本法,文字工、前端、後端、錄影原住民族基本法的人,,,
10,17:45,,Jay,是,vTaiwan (chatbot),MIT,https://docs.google.com/document/d/159co9IpFGTT-F3CPjrqjJlzOctAVKAps8TmBMjmef9c/edit,https://www.facebook.com/vtaiwan.tw/,,,,,
11,17:50,,紅雨,是,Code for Japan(Nanto) 開放資料新手村桌遊中文版,cc by-nc,https://g0v.hackpad.tw/Code-for-JapanNanto--qIrL0tB5POF,"https://docs.google.com/presentation/d/1DcPAXMaOFvOLszW2QELnK1uZA2xSpCj2x7TfnfmVnwE/edit?usp=sharing

本日成果
https://drive.google.com/open?id=1DbZWwwzoey310XKRPlQtjDTdTnxrn9eb",桌遊 / 挑戰無人駕駛坑,"坑主
主持人
試玩的人
文字：用g0v專案把遊戲本地化",,,
12,17:55,,Vienna,,Sustainable civictech financing-economy. Distributed token/ICO finance support for social movement,,https://economicspace.agency/,vienna@cryptolab.net,Blockchain token economy. Gamified ,,,,
13,18:00,,ael,y,sense.tw,MIT,https://g0v.hackpad.tw/sense.tw-113-sZmzBTW1azj,https://sense.tw,線上審議、公民參與、科技願景,行銷、積極公民、政府內的人,,,
14,18:05,,Noah,,Public Code / OpenAPI,cc by-nc,https://g0v.hackpad.tw/Public-Code--MDDEWRPg0uX,https://publiccode.asia/zh_tw/,開源、政府專案、推廣,,,,
