,,,,活動前準備流程表,,,,,,
時間／分組（人數）,,揪松,"食物（1 人）
Analeigh、Ying","主持（5 人）
ichieh、chewei、bil","報到（2 - 3 人）
Tiff、ichieh、Gera",顧門（6 人）,"場務（3 人）
Analeigh、Ying、Tiff","直播（1 人）
seangau","錄影（1 人）
yutin","照相（2 人）
jack chen"
大松前六周,,開啟命名共筆,,,,,,,,
大松前五周的周二,,一鍵開大松,,,,,,,,
大松前四周的周一 9:00,,寄出電子報,,,,,,,,
大松前四周的周一 12:00,,kktix 開始售票,,,,,,,,
大松前兩周的周五,,貢獻者票申請開始,與廠商訂食物,,,,,,,
大松前一周的周五,,貢獻者票申請截止,,,,,,,,
大松前的周一,,寄出貢獻者票,,,,,,,,
大松前的周三,,行前通知寄出,,,,,,,,
大松前一天 21:00,,,,"松前哈拉（宣傳、共筆）
主持人 Peter",,,,,,
,,,,大松當日流程,,,,,,
時段／注意事項,大松活動timeline,確認流程,當日擺盤順序,串場,隨時都要有人在,注意進出的人,場佈、撤場,可告知網路規格,可告知網路規格,
8:00,,抵達 集思會議中心,,,,,搬桌椅、擺設,,,場佈拍攝
9:00 - 9:30,"報到
9:00 - 09:30",,"上午飲料
9:00",,"確認參與者 3 劑疫苗
 or 24h 內快篩陰性
（）",,,,,
09:30 - 09:40,"新手教學
09:30 - 09:40",,,新手教學（投影片）,"噴酒精、量體溫
（）","時段 A
9:00 - 10:30",,,,
09:40 - 09:50,"開場
09:40 - 09:50",,,"開場＆提案主持

請大家自我介紹
主持人 ichieh","kktix 掃描報到
（）",,,,,
09:50 - 10:00,"三分鐘提案
09:50 - 10:40",,,,,,,,,提案者拍攝
10:00 - 10:10,,,,,,,,,,
10:10 - 10:30,,,,,,,,,,
10:30 - 10:50,"自我介紹
10:40 - 11:00",,,,,,,,,自我介紹拍攝
10:50 - 11:10,,,,,,,,,,
11:10 - 11:30,"分組開工
11:00 - 16:00",,,,,"時段 B
10:30 - 12:00",,,,
11:30 - 12:00,,,,,,,,,,食物拍攝
12:00 - 12:20,"午餐 
12:00 - 13:00",,"午餐時段
12:00 - 13:00
",,,,,,,
12:20 - 12:40,,,,,,,,,,
12:40 - 13:00,,,,,,"時段 C
12:00 - 13:30",,,,分組討論拍攝
13:00 - 13:20,"分組開工
11:30 - 16:00",,,"新手導覽團
13:10
chewei",,,,,,
13:20 - 13:40,,,,,,,,,,
13:40 - 14:00,,,,,,,,,,
14:00 - 14:20,,,,,,,,,,短講拍攝
14:20 - 14:40,"隨喜短講
14:30 - 15:10",,,"短講主持
主持人 bil",,"時段 D
13:30 - 15:00",,,,
14:40 - 15:00,,,"下午小點
15:00",,,,,,,
15:00 - 15:20,"分組開工
11:30 - 16:00",,,,,,,,,
15:20 - 15:40,,,,,,,,,,分組討論拍攝
15:40 - 16:00,"成果報告
16:00 - 17:00",寄出會後問卷,,"成果報告
主持人 bil",,"時段 E
15:00 - 16:30",,,,成果發表拍攝
16:00 - 16:20,,,,,,,,,,
16:20 - 16:40,,,,,,,,,,
16:40 - 17:00,,"物資裝箱寄放集思
請黑貓週一 (8/22)
來集思收件",由場地廠商清潔,,,,搬桌椅、擺設、收廚餘、收牌子,,,
17:00 - 17:10,,,,,,,,,,
17:10 - 17:20,,,,,,"時段 F
16:30 - 18:00",,,,
17:20 需全數離場,,,,,,,,,,
