"9:15【present project】 規則
上台用三個關鍵字介紹自己，兩分鐘說明你正在進行的事情，或想達成的事情，目前進展到什麼程度，需要什麼樣的人幫忙
(三個關鍵字 ex clkao -> opensource, transparency, happy :p)
",,,,,,,
順序,預計發表時間,發表者,所在地區,主題,相關連結,發表者的三個關鍵字,鄉民表列對應序號
1,上午 9:25:00,clkao,,立院專案 update,,,
2,上午 9:28:00,,,,,,
3,上午 9:31:00,,,,,,
4,上午 9:34:00,,,,,,
5,上午 9:37:00,,,,,,
6,上午 9:40:00,Bater,台北,,選票成份分析update,候選人、投票品質、市場控制,1
7,上午 9:43:00,kirby,台北,"選區視覺化,ly.g0v.tw website",https://github.com/clkao/TWVoteData/blob/master/mly/8/,"visualization, web design, livescript",11
8,上午 9:46:00,blue,台北,福利搜尋,https://hackpad.com/Listening-%E8%81%BD%E9%9A%9C%E5%B0%88%E6%A1%88-86sC4t4wRxv,福利、分析、搜尋,
9,上午 9:49:00,阿空,台北,法令函文易讀器,http://paste.plurk.com/show/998955/,性交易、焦慮、略懂,23
10,上午 9:52:00,Ronny,台北,台北市建築使用執照分析,http://tpebuilding.g0v.ronny.tw/,容積 開放空間 房價,
11,上午 9:55:00,ctf,台北,404兒少協尋專案,https://docs.google.com/document/d/1DmBXSmYh1knJk6U3zP5T_6QAWa6AhNXosVi0ENydzdQ/edit,"Python, Javascript, Google apps script",
12,上午 9:58:00,David,台北,運送供需媒合系統,http://zh.scribd.com/doc/131353017/gn-M424559,物流媒合、省錢、賺錢,6
13,上午 10:01:00,Muyueh,台北,第五座核能發電廠,https://docs.google.com/folder/d/0B00j8_vTJFGUdmJKT0NsS2lHbHc/edit?docId=1lVyVUdEZz6VFqSpE6fvOzmlayP0nlSpjl88qUvxCmMI,核能、視覺化、小遊戲,
"17:15【成果發表】 規則
每個 present 5min，可視 project 數量和剩餘時間調整",,,,,,,
順序,預計發表時間,發表者,所在地區,主題,相關連結,,
1,下午 5:15:00,multani,台北,政府關鍵字,,,
2,下午 5:20:00,ipa,台北,立院網站mockup,,,
3,下午 5:25:00,blue,台北,Listening 福利請聽,http://listening.herokuapp.com/,,
4,下午 5:30:00,ctlin,台北,404兒少協尋,https://docs.google.com/document/d/1DmBXSmYh1knJk6U3zP5T_6QAWa6AhNXosVi0ENydzdQ/edit,,
5,下午 5:35:00,au,台北,臺客萌典,https://www.moedict.tw/,,
6,下午 5:40:00,Muyueh,台北,第五座核能發電廠,https://docs.google.com/folder/d/0B00j8_vTJFGUdmJKT0NsS2lHbHc/edit?docId=1lVyVUdEZz6VFqSpE6fvOzmlayP0nlSpjl88qUvxCmMI,,
7,下午 5:45:00,kirby,台北,選區視覺化,,,
8,下午 5:50:00,,,,,,
9,下午 5:55:00,,,,,,
10,下午 6:00:00,,,,,,
