,,,,,,,,,,,,,
                                                                                                 ,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,共筆／討論連結,目前成果／投影片連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
9,10:04,V,weiting,Y,阿美語萌典,cc-by,http://beta.hackfoldr.org/11BRa7Ftnni8Q1NRdjwS378BgBz832UY4uIr-d0J0YpM/https%253A%252F%252Fhackmd.io%252Fs%252FHJJeu08Al,https://docs.google.com/presentation/d/1d0L2dY-8Le4tqUga2y90N6cucPhd6SIhxsiH-ZFUy-Q/pub?start=false&loop=false&delayms=3000,阿美語萌典、原住民族、寫作,對原住民族文化有興趣的人,,,
10,10:07,V,mooon,Y,國家寶藏,cc-by,http://beta.hackfoldr.org/national-treasures/g0v--LHg8jvQVJIj,,歷史檔案、數位化、開放資料,對挖寶有興趣的人、文案寫手、ios工程師,,,
11,10:10,V,chewei,Y,公有地專案：有了開放資料之後？,cc-by,https://www.facebook.com/groups/1417173811903954/,"臺北市公有空地地圖：http://taipei-pop.herokuapp.com/
簡報：https://goo.gl/fS86d3",,,,,https://goo.gl/fS86d3
12,10:13,V,Michael_LI（新聞松 x 媒觀）,Y,「新聞分析指標」以及「轉檔工具」,MIT,https://newshackathon.hackpad.com/--rJ6ArtkHum0,https://docs.google.com/presentation/d/1mm3-r5iCQswdeJlGo5-mHAlesnmxMC5fcPST_QH8CfQ/edit#slide=id.p3,我來了，我看到了，我征服了（拉丁語：VENI VIDI VICI）,"1.軟體工程師（PHP,JavaScript / node.js），
2.關心新聞品質的鄉民，
3.懂一些些新聞學的人",,,
13,10:16,V,gavin,y,超簡單的無人機管理,CC BY-NC-ND,https://goo.gl/n3BcRg,https://goo.gl/fYSCvu,,,,,
14,10:19,V,理查,Y,開放都市計畫 - API + 前端設計,CC-BY / MIT,https://g0v.hackpad.com/-API-QHArc116FJR,,都市計畫、資訊開放,前端/API設計 PHP + Laravel,,,
15,10:22,V,Fumi,,台北市心理資源地圖,cc-by,http://beta.hackfoldr.org/psy,https://www.slideshare.net/JessieWang29/g0v24,台北市心理資源,"可以設計icon或logo的設計師
喜歡複製貼上的人
對心理諮商服務有興趣或參與討論的人",,,
16,10:25,V,子瑋,y,前瞻計畫數位內容全民公聽會,cc,"共筆：https://hackpad.com/GGVzQvHn6Ti
前瞻計畫全文：https://drive.google.com/file/d/0B6JTgAKtGuy-RFl6MTJTTXk5TXc/view?usp=sharing
參考資料：https://hackmd.io/c/ryZtajcJ-",投影片：https://drive.google.com/file/d/0B6JTgAKtGuy-TS1kQ19LU1V6bWM/view?usp=sharing,前瞻計畫、數位、傳播文化,"1.本案針對數位建設部分。
2.議題規劃者。
3.會場規劃者。
4.直播、紀錄。
5.相關宣傳",,,
17,10:28,V,MrOrz,Y,cofacts / 真的假的 LINE bot,程式MIT / 內容CC0,http://謠言.大平台.tw,https://cofacts.g0v.tw,"LINE bot, collaborative fact checking, 謠言追追追",新聞專業、遇到專業領域謠言知道要找誰查證（或自己可以查證）的人,,,https://docs.google.com/presentation/d/1l2UiSczd0IOIGq9mYvBxqweR1skGlLupF-TGq7jgAzU/edit#slide=id.p
18,10:31,V,canadian_aaron,Y,g0v.news,,g0v.news,g0v.news; 【專題】黑客公務員的血汗之路,"news, 翻譯",翻譯者,,,https://drive.google.com/file/d/0B67DFJGUBgytTVpCYk5JLV9fbTQ/view?usp=sharing
,,,,,,,,,,,,,
,,,== 截止 ==,,,,,,,,,,
"14:30【8分鐘短講報名】
每個 present 8min，分享議題、專案、研究、技術皆可。",,,,,,,,,,,,,
順序,發表時間（自填）,完成,發表者,錄影以 CC-BY 釋出?,主題,,,相關連結,三個關鍵字,專案徵人,,,
1,14:30,V,ronnywang,Y,middle2 ，給 g0v 的雲端平台,,,https://middle2.com/,,,,,
2,14:40,,mg,Y,the gap (and bridge) between open data and open governance (TICTeC and DatenSummit),,,https://www.slideshare.net/atmglee/the-gap-and-bridge-between-open-data-and-open-governance,,,,,
3,14:50,,ael,Y,TICTeC,,,https://docs.google.com/presentation/d/1TXWtv1i37atUAfq0EVIUj1tF8aYT6MNbLP0LHZBknp4/edit?usp=sharing,,,,,
4,15:00,,chewei,Y,開源出版,cc-by,https://g0v.hackpad.com/--SBFSdruovNE,https://docs.google.com/presentation/d/183mCsuFgnaaJQtT_KPRjxt6TBKpEDPDSeb8IGkMwEyA/edit,"publication, content, knowledge",,,,https://docs.google.com/presentation/d/183mCsuFgnaaJQtT_KPRjxt6TBKpEDPDSeb8IGkMwEyA/edit
,15:10,,RSChiang,Y,Etherpad Lite 魔改徵人中,,,,,,,,
,本期開放4位8分鐘,,== 截止 ==,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"17:00【 present project】 規則：於106-7會議室舉行
每個 present 5min，可視 project 數量和剩餘時間調整",,,,,,,,,,,,,
1,17:00,v,weiting,Y,阿美語萌典,cc-by,http://beta.hackfoldr.org/11BRa7Ftnni8Q1NRdjwS378BgBz832UY4uIr-d0J0YpM/https%253A%252F%252Fhackmd.io%252Fs%252FHJJeu08Al,https://docs.google.com/presentation/d/1pTCoxBJmhzCTlre32NPrT17LmRO9rTux8vfahBXe3hE/edit#slide=id.g218a395dea_0_4,阿美語萌典、原住民族、協作,對原住民族文化有興趣的人,,,
2,17:05,v,dongpo,y,,,,http://tap.linkedopendata.tw,,,,,
3,17:10,v,ronnywang,y,新聞小幫手2.0,cc-by,https://g0v.hackpad.com/-2.0--uK29ywpgBK4,,,,,,
4,17:15,v,afa,,白色恐怖時空資料視覺化,,,,,,,,
5,17:20,v,gavin,y,智慧山區救災,cc-by,https://goo.gl/n3BcRg,https://goo.gl/BGyqEP,,,,,
6,17:25,v,mrorz,y,cofacts / 真的假的 LINE bot,程式MIT / 內容CC0,http://謠言.大平台.tw,https://cofacts.g0v.tw,"LINE bot, collaborative fact checking, 謠言追追追",新聞專業、遇到專業領域謠言知道要找誰查證（或自己可以查證）的人,,,https://docs.google.com/presentation/d/1l2UiSczd0IOIGq9mYvBxqweR1skGlLupF-TGq7jgAzU/edit#slide=id.p
7,17:30,v,clkao,y,生產計劃書產生器,MIT,http://beta.hackfoldr.org/b1rth/sGHKxpabxK1,https://coggle.it/diagram/WQ17zZfnlgABGVrk,,,,,
8,17:35,v,yuta,,Hackathon HackingMap ,cc by,,,,,,,
9,17:40,v,yurenju,Y,勞基法函式庫：勞基法相關應用的基石,cc-by,https://hackmd.io/c/SJES19Fy-,,,,,,
10,17:45,v,Michael_LI（新聞松 x 媒觀）,Y,「新聞分析指標」以及「轉檔工具」,MIT,https://github.com/news-hackathon,https://docs.google.com/presentation/d/1mm3-r5iCQswdeJlGo5-mHAlesnmxMC5fcPST_QH8CfQ/edit#slide=id.p3,,,,,
11,17:50,,,,,,,,,,,,
12,17:55,,,,,,,,,,,,
13,18:00,,,,,,,,,,,,
