,,,,,,,,,,,,,,
,"發表時間
Time","完成
Done","發表者
Presenter","錄影 CC-BY
釋出？
Video CC-BY?","主題
Topic","專案授權
Licensing","共筆／討論連結
Notes, contact","目前成果／投影片連結
Slides, progress","新參者友善？
Newbie friendly?","三個關鍵字
3 keywords","專案徵人
People (skills) needed","坑主聯絡方式
Project owner contact","報告 YouTube 連結
YouTube link","相關連結
Related link"
【3 分鐘提案報名】9:45 開場，9:50 提案開始，每個 3min，記得徵人！,,,,,,,,,,,,,,
Sign up for a 3-min proposal here. Remeber to list people (skills) needed for the project!,,,,,,,,,,,,,,
1,9:50,,isabel Hou,yes,g0v宣言台語版、英語版、多國語言版,,g0v slack #jothon #intl,https://g0v.hackmd.io/4E6KSG35Q0ehuRmIJmUMRQ,yes,宣言、台語、英語,願意參與理解翻譯g0v宣言的人,g0v slack @chihao @isabel,,https://g0v.hackmd.io/4E6KSG35Q0ehuRmIJmUMRQ
2,9:53,,bruce,yes,選前大補帖,cc-by,g0v slack #2020voting-guide,https://vote.ly.g0v.tw/,yes,"候選人, 選舉公報, 背景","政見補充, 法規白話文撰寫",g0v slack @bangyu ; https://www.facebook.com/voting.guide.tw,,https://docs.google.com/presentation/d/11DzYWjMWh75AkF66MZr60xNtP8d2crIDBNuA1u_lryI/edit#slide=id.g7558e8025d_1_15
3,9:56,,shawn,"yes
","鄉民論政見
Political proposal & promise",cc-by,g0v slack #tainan,https://g0v.hackmd.io/@shawn111/PoliticalProposal#/,"yes
","政見, 民間團體, 長期計畫","
前後端工程師、UI、UX設計",g0v slack @shawn111,,
4,9:59,,Bess,yes,g0v Summit 2020,cc-by,g0v Slack #Summit,https://g0v.hackmd.io/@bess/g0vSummit2020keng,yes,"社群活動, 兩年一次, 國際","工人, 會募款的人, 有錢的人",g0v Slack #Summit,,
5,10:02,,JinWen,yes,全民提報文化資產,cc-by,https://hackmd.io/d7s6pJSdRByTYYebFAgwPg,,Yes,文化資產、全民編輯、歷史記憶,文化歷史資料收集、前後端工程師、設計師,g0v Slack #全民提報文化資產,,
6,10:05,,ihshok,yes,g0v紀錄片製作中,完成片cc-by,https://g0v.hackmd.io/FsghOtEXR22aC9ycLsAQ-Q,https://drive.google.com/file/d/1bbEOUUrMJ3ilp1dMcXT6OaOEC7DDy3d2/view?usp=sharing,yes,沒有人與蒙面英雄、線上線下、讓更多人認識g0v,願意現身或獻聲的g0v參與者,g0v slack @ihshok,,"過去作品集錦 https://youtu.be/cZhPOGgI8ts 
近期製作參考1. https://youtu.be/TdQbZLCbnLo  2.https://www.youtube.com/playlist?list=PL6XFvghLVar8t5g3ho72kxqenionZpBCe"
7,10:08,,chewei,yes,"算樹計畫 Evaluate the Opportunity of ""Planting Trees"" in Your Country 🌳🌳🌳",cc-by,"(1) g0v slack #gis
(2) fb group: https://www.facebook.com/groups/573697330058183/
English Intro 👉 What is the open state of the tree data collection in various cities in the city? What is the relationship between trees and open source projects? This project hopes to figure out the outline of the tree distribution through the tree calculation. If the basic conditions are appropriate, the project will further evaluate the opportunity of ""planting trees"" and clarify the action of the project.",http://bit.ly/2pvaiz4,yes,"Transnational, NDVI, data(Tree&Landuse)","GIS, Logo Design, Google Earth Engine","g0v slack @chewei; https://www.facebook.com/MikLiu
https://www.facebook.com/groups/573697330058183/",https://youtu.be/HUHfBQn9VXA,https://g0v.hackmd.io/YRVv_d-CQvaBzFrwITh58g?edit
8,10:11,,Qian-Yong,yes,"透明足跡APP製作專案-掃條碼出奇蹟
Scan barcode for more info",cc-by,"https://g0v.hackpad.tw/APP-s7P511tvUpk
g0v Slack #thaubingapp",https://reurl.cc/Qpoqbq,yes,商品條碼、資訊揭露、公眾參與,使用者經驗分析；UI、UX設計；資料庫建立維運；跨平台APP運作架構建立,"g0v Slack @阿乾
g0v Slack #thaubingapp",,https://thaubing.gcaa.org.tw/
9,10:14,,deeper,yes,蜂警區地圖,cc-by,https://hackmd.io/cAGcqbo6SIeyoDAZqgaKzQ,https://docs.google.com/presentation/d/1pv1mkeIAx4rdEdS8uaXTjfXC9LUaO1zany__uV5-ujE/edit?usp=sharing,yes,農藥減量、公民科學、生物多樣性,,"g0v Slack @deeper
https://www.facebook.com/chiashen.tsai",,
10,10:17,,gavin,yes,消防找水小幫手/無人機熱點地圖,CC BY-NC 3.0,http://bit.ly/2RQT3E2,http://bit.ly/2MhO8IF,yes,消防栓.無人機.地圖,有興趣及愛惡搞的工程師,http://bit.ly/2M0aSww,,
11,10:20,,kiang,yes,台灣賄選實價登錄地圖,cc-by,g0v slack #tainan,https://g0v.hackmd.io/qbQKVKIeRcCTb3pr_r7y_Q,yes,"賄選,法院判決,候選人",大量資料探勘、對判決資料感興趣、希望幫忙整理資料、視覺設計,g0v slack @kiang ; https://www.facebook.com/k.olc.tw/,,https://kiang.github.io/bribes_map/
12,10:23,,"[FtO] sshony, mee",yes,data public. raw data Archive,cc-by,g0v Slack,https://docs.google.com/presentation/d/1tYl8g98bI8deAUN6g7iuKk6NnXMLTcwjYtLyszGx2Q0/edit#slide=id.g7bb7c7a1b7_2_83,yaaaaaa of cource,ww,anyone interested in data public,g0v Slack @sshony or @mee,,
13,10:26,,"[FtO] pm5, wenyi",yes,零時檔案局 0archive,TBD,g0v Slack #disinfo,https://g0v.hackmd.io/VS8C89GxQS68nWdNlAnqkg,yes?,"不實訊息、備份、舉報
disinfo, archive, report",coder、資料分析、資訊視覺化,g0v Slack @chihao,,
14,10:29,,[FtO] bil,yes,Cofacts 真的假的,"程式 MIT
文字 CC0",https://cofacts.g0v.tw/hack,https://docs.google.com/presentation/d/1HxATUop5iKbbLfm_e-f8Tgj0LA7pfDq96_mz1D4vv6E/edit,super friendly❤️,"crowd surcing, fact-checking, chatbot",願意回應網路訊息的人、chatbot愛好者、少女、喜歡上網的人,"g0v slack: #cofacts channel , g0v slack @mrorz , @bil",,https://docs.google.com/presentation/d/1HxATUop5iKbbLfm_e-f8Tgj0LA7pfDq96_mz1D4vv6E/edit
15,10:32,,bruce,yes,美國國會台灣觀測站,cc-by,https://hackmd.io/@dieface/taiwanwatch-tainan-2019,https://acttaiwan.sharepoint.com/:p:/s/TaiwanWatch891/EcPzS3CM6EFNthgtAoH1uF8B1gLNFgg5FidfOplion0eYw?e=0ylnI3,yes,台美關係、國際關係、美國國會,工程師、UI/UX 設計師、資訊設計師、社群媒體經營、 改善美台關係有興趣的路人,g0v Slack @bruce,,"- fb 粉絲頁：https://www.facebook.com/ustaiwanwatch
- 官網：https://www.uswatch.tw/about
- medium：https://medium.com/ustaiwanwatch
- instagram：https://www.instagram.com/ustaiwanwatch
- line：https://line.me/R/ti/p/%40pfw3848l
"
16,10:35,,fish,NO,Sea star in-media platform,CC BY,https://hackmd.io/wUN7Rx99QaKV2c7hLghCeQ,https://drive.google.com/file/d/1lmDPS8ydI-D3AeUwPgzuAiGGIZfyUdDh/view?usp=sharing,yes,"IPFS, media, voiceless",前端工程師以及對這個project感興趣的人,,,
17,10:38,,Julien,yes,Social Network Analysis of Taipei City Decision-Makers,cc-by,http://bit.ly/2NqmTN0,https://docs.google.com/presentation/d/1P6YJ4XdoxQ0VUhBt_UDhvcUPuZP8aV_iElIJ1ijTp3o/edit#slide=id.p,yes sure,"Social Network Analysis, Digital Sociology, Web Scraping",English speaking (I do not speak chinese) ,g0v slack @julien.carbonnell ; julien.carbonnell@gmail.com ; line and Whatsapp => +33617982358,,medium.com/@julien.carbonnell
18,10:41,,[FtO] lifehome,yes,"香城 Online
Open Data Portal & Aggregator","Text & Documentation: GFDL

Codebase: AGPL v3+",https://hackmd.io/AHfNHVmfSPOyj4sGFRfAyA,https://docs.google.com/presentation/d/1yj7adTJqvcuPEauys1aW5TvxTM8E-TCybM8-rDBWGMw/edit?usp=sharing,Maybe,"Data aggregation, Open Data, Civil particpation",Everyone is welcome! Tho we are in need of Data engineers,"g0v slack @lifehome

Email: yorozuya@hkno.it",,
,,,,,"提案只有 18 個，就在這裡截止，不要再加了。
Only 18 proposals. Please don’t add more.",,,,,,,,,
,,,,,,,,,,,,,,
【8分鐘短講報名】14:30 開始，每個 8min，分享議題、專案、研究、技術皆可。,,,,,,,,,,,,,,
Sign up for a 8-min talk here.,,,,,,,,,,,,,,
,"發表時間
Time","完成
Done","發表者
Presenter","錄影 CC-BY
釋出？
Video CC-BY?","主題
Topic","專案授權
Licensing","相關連結
Related link","相關連結
Related link","非技術者友善？
Non-techie friendly?","三個關鍵字
3 keywords","專案徵人
Skills needed","坑主聯絡方式
Project owner contact","相關連結
Related link","相關連結
Related link"
1,14:30,,Gt,yes,Co-op CSA,cc-by,http://www.chientai.org/2019/12/21/co-op-csa-g0v-hackth37n/,,yes,"CSA, COOP, agriculture",熟悉合作社運作者，友善工作小農，有興趣的工程師,"chi3ntai@gmail.com
@gaintai (twitter)
",https://drive.google.com/file/d/1PfjB-WgVPG6ftSJTLEpCC5UjYB7CXcwN/view?usp=sharing,
