,,,,,,,,,,,,,,
4sz,發表時間 / Time,完成,發表者 / Presenter,錄影以 CC-BY 釋出？,主題 / Topic,Office Hour,專案授權 / License,共筆／討論連結 / Notes,目前成果／投影片連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
09:30開場，09:40提案開始【3分鐘提案報名】每個 present 3min，提案、徵人。,,,,,,,,,,,,,,
"Starts at 09:30, Presentation begins at 09:40, each propose presentation 3 min",,,,,,,,,,,,,,
1,9:52,,,,,,,,,,,,,
2,9:55,,,,,,,,,,,,,
3,9:58,,,,,,,,,,,,,
4,9:52,,Ronny Wang,yes,拆解開放資料咨詢小組,,cc-by,https://g0v.hackpad.tw/rfTpW5sFjkj,https://docs.google.com/presentation/d/1-AvFvrQGiTRjoNsRs8H6FcSiQjBlvMfzK2foFKk_sLw/edit#slide=id.p,開放資料、諮詢小組、gov,資料整理者,,,
5,9:55,,Hsu Weiyen,,JSonView(Android快速開發OPenData),,,,,Android、Eclipse、好懂好用,行銷、測試,,,goo.gl/EfyZ5n
6,9:58,,poga,yes,公民科技的資料保存與分析 civic-notebook,,MIT,https://hackmd.io/CwI2FYAYBMDMGYC0l72I4wDG6AcBOYfRAQ0hAEYB2C6cANnywqA=,https://github.com/poga/civic-notebook,資料、備份、去中心化,資料分析、開發者,,,
7,10:01,,Maggie Sheu,,共享關心(Justwithin),,MIT,https://g0v.hackpad.tw/Justwithin-dQ4KZ1vHxwX,www.justwithin.org,國際張老師 ,"front-end engineers, iOS app, Journalists, 導演, 喜歡設計和外語都可以來～",,,https://docs.google.com/file/d/0B9cy3x3euSx3TmtXWnFqZDdfbG8/edit?usp=docslist_api&filetype=mspresentation
8,10:04,,Yuren Ju,yes,工時紀錄上區塊鏈 (punch card on blockchain),,MIT,https://g0v.hackpad.tw/hqQGdzE8KJn,https://docs.google.com/presentation/d/1kXLSx6eW1SJxFoIXZrGQ730NUPWZfoiXqICvjVO3TjE/edit?usp=sharing,勞工、區塊鏈,區塊鏈、企劃，勞工專家,,,
9,10:07,,Jeff,Yes,工商寶(公司設立輔助工具,,MIT,,https://goo.gl/9FxooG,公司設立、word,後端、法律專業、熟悉公司法或公司設立流程之高手,,,
10,10:10,,小蟹,yes,阿美語萌典(O citing no AMIS),,MIT,,https://amis.moedict.tw/,阿美語、台灣原住民語與南島語、台灣原住民族文化,前端、後端、資料打字小幫手、設計,,,https://docs.google.com/presentation/d/1PUlcam9_lL49nhLEEpcDr3w7qlM-fOYO7yL2pm9k-sM/edit?usp=sharing
11,10:13,,chewei ,yes,公有地大行賄 / 公有地大行動,,cc-by,https://g0v.hackpad.tw/1KopENAUlH6,https://goo.gl/BwHvwo,公有地、行賄、司法案件,對於「公有資產與行賄」有興趣的人（？）,,,https://goo.gl/BwHvwo
12,10:16,,徐正樺,yes,臉書陣亡者聯盟,,CC0,,,"臉書,帳號停權,自救系統",,,,
13,10:19,,李振北,yes,企業永續資訊平台（Corporate Social Responsibility）,,,,https://docs.google.com/presentation/d/1pJxGkVfh_mNRdNAePLVwnWjVSg6iKggzJcGm3KMJD-o/edit?usp=sharing,開放CSR（企業社會責任）資料、PDF爬蟲、XBRL線上表單,前端、後端、設計、資料分析,,,
14,10:22,,mrorz,yesss,Cofacts / 真的假的 LINE bot,,"Code = MIT
Database = CC0","
beta.hackfoldr.org/cofacts",cofacts.g0v.tw,"Fact-checking, crowd-sourcing, chat bot",會 google 的人,,,https://drive.google.com/open?id=1Ih_BJfXevVz2DcjleSUrI7SL5XMN20IDhrkNEQGdycg
15,10:25,,mrorz,yes,樣板劇逐字稿計畫,,CC0,https://hackmd.io/c/ry2TPHV9W/%2Fs%2FBkkpi4uqb,https://hackmd.io/c/ry2TPHV9W/%2Fs%2FBkkpi4uqb,逐字稿、markdown、文字,看得懂簡體、會螢幕截圖、會用 markdown (hackmd),,,https://docs.google.com/presentation/d/1MXQt7EJFtw9bx-v1rAve5aMr8GJUMjtofpcBiVESoeg/edit?usp=sharing
16,10:28,,許守傑,yes,都市更新天眼通,,CC,https://urban-renewal.herokuapp.com/,https://www.slideshare.net/JasonHsu56/ss-78293143?ref=https://www.slideshare.net/JasonHsu56/slideshelf,都更  都市更新  資料視覺化,"front end developer, data scientist, 對都市更新都市計畫有熱情者!",,,
17,10:31,,蕭a,yes,國家寶藏,,MIT,http://beta.hackfoldr.org/national-treasures,https://www.nationaltreasure.tw,開放資料 歷史 群眾參與,愛看英文史料的人 Javascript/React/RN 專案經理,,,https://docs.google.com/presentation/d/1pD54KK2zfD_I9Uaojqcgi9BlnFd8_6CpJPxukaRDbE4/edit?usp=sharing
18,10:34,,,,,,,,,,,,,
19,10:37,,Shen,no,我們都是李明哲,,MIT,https://hackmd.io/GYQwxmAmYgbAtMMBOApvALLAHAJntsMBvGAKywAM2a2YGylQA===,https://docs.google.com/presentation/d/1d-kiD_b-MrWl3LNpIvGdjV8aXeVwZE_r-CA8uBAp3G4/edit#slide=id.g26381a553f_0_12,李明哲、中國、維權,前端、設計師、文字工,,,
20,10:40,,子魚,yes,vTaiwan @ TAF,,CC0,https://g0v.hackpad.tw/vTaiwan-106.09.16--38bNZoqCDn4,https://docs.google.com/presentation/d/1WuCDGCASI0F6Z9a5TkHxJSsiVKDJjot1vl9g4p8ptuM/edit?usp=sharing,vTaiwan、法規調適,法律、行銷,,,https://docs.google.com/presentation/d/1WuCDGCASI0F6Z9a5TkHxJSsiVKDJjot1vl9g4p8ptuM/edit?usp=sharing
21,10:43,,雨蒼,yes,「唐鳳做了什麼」預告！,,CC0,,https://docs.google.com/presentation/d/1xxnHE60LkX0JL31Ob-wqSS4sBL8N8PzByWfUzd4y40k/edit?usp=sharing,下午一點,錄影、公民記者、想問問題的人,,,
22,10:46,,Terix,,黑農松,,,https://www.facebook.com/groups/472962446424371/,https://drive.google.com/open?id=0B5u8cSzbVq4WZ3BuZG4xSzJSWVU,農委會、小農、土地,揪團打怪，願意一起跟小農合作，透過現有開源應用，創造更多的可能,,,Facebook社團：黑農松籌備小組 // 黑客X青農交流區
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,== 截止 ==,,【餐盤一人只有一個，請珍惜簽名重複利用～ ❤️】,,,,,,,,,
"14:00-14:40【 g0v 獎助金】2017 年秋季獲獎專案分享，每組 5 分鐘
g0v Grant awardees project demo, 5 min each
㊡㊡㊡ 本期沒有短講 ㊡㊡㊡",,,,,,,,,,,,,,
順序,發表時間（自填）,完成,發表者,錄影以 CC-BY 釋出?,主題,,,,相關連結,三個關鍵字,專案徵人,,,
1,14:00,,g0v 揪松團,,開場,,,,,,,,,
2,14:10,,caasi,Y,YA0H: Yet Another g0v Hub,,,github.com/g0v/ambassador,,,,,,
3,14:15,,gavin,Y,LostSAR-搜救,,,https://goo.gl/3qDrKh,https://hackmd.io/p/SJ418TQO-#/,beacon.gps軌跡.無人機追蹤,熱血工程師、宣傳、設計,,,
4,14:20,,Shaw Wu,Y,阿龜誌—農務紀錄好幫手,,,http://www.openhackfarm.tw/,https://www.facebook.com/agriweather/,農業科技、阿龜、田間紀錄,寫系統、寫web、田間紀錄編修、小編、計畫整理,,,https://drive.google.com/open?id=0B0aaIwtO3s-pTnpXMk5QS0ZuN28
5,14:25,,洪申翰,,台灣企業集團母子公司關係與環境社會責任,,,git@github.com:starsdog/companyParser.git,,,,,,
6,14:30,,stephan,,享食雲 http://foodsharing.tw/,,,https://github.com/yunity/karrot-frontend,https://www.facebook.com/foodsharingtaiwan,食物分享,"coders (framework: AngularJS fronted with a Django API server), web designer",,,
7,14:35,,許亞傑,,美國國會台灣觀測站,,,https://taiwan-watch-slack-invite.herokuapp.com/,https://docs.google.com/presentation/d/1CErdMbJ2zynaYbKTgGiWPe0EM9zim1k5qDIsKkhHbRQ/edit#slide=id.g1ffd21a43e_0_550,,,,,
,本期不開放短講,,== 截止 ==,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"17:00【 present project】 規則
每個 present 5min，可視 project 數量和剩餘時間調整",,,,,,,,,,,,,,
1,16:55,,施旭峰,,阿龜誌,,,,,,,,,
2,17:00,,Hsu Weiyen,,JsonView,,,,"goo.gl/VUggg3
",,,,,
3,17:05,,雨蒼,YES,「唐鳳做什麼」成果,,cc0,https://docs.google.com/presentation/d/1GftCjuYeKGguHVoCIq3Qm44szfkfoOn9J9NvzcRIUBw/edit#slide=id.g26393b6eaa_0_72,,,,,,
4,17:10,,Jeff,YES,工商寶(公司設立輔助工具),,,,,,,,,
5,17:15,,小蟹,YES,阿美語萌典(O citing no AMIS),,MIT,,https://amis.moedict.tw/,阿美語、台灣原住民語與南島語、台灣原住民族文化,前端、後端、資料打字小幫手、設計,,,https://docs.google.com/presentation/d/1PUlcam9_lL49nhLEEpcDr3w7qlM-fOYO7yL2pm9k-sM/edit?usp=sharing
6,17:20,,Ellen and 小草,Yes,Itaigi 愛台語,,,,"https://itaigi.tw
https://www.facebook.com/pg/ukauitaigi",台語 語音合成 口語詞典,,,,
7,17:25,,Mohammad,yes,Jamnevisi(CrowdLaw),,,,http://jamnevisi.ir/home,"Crowd-sourcing, Legislation, Iran",,,,
8,17:30,,李振北,yes,企業永續資訊平台,,,,,,,,,
9,17:35,,Huang,No,李明哲,,,https://plotdb.io/v/chart/14498,,,https://www.easel.ly/infographic/2fcvkq,,,
10,17:40,,Hal Seki,YES,Code for Japan,,,,,Civic tech in Japan,,,,https://speakerdeck.com/codeforjapan/code-for-japan-the-network-for-the-people-who-think-together-create-together
11,17:45,,Jia Li,yes,Open Development Myanmar,,,https://github.com/OpenDevelopmentMekong,opendevelopmentmyanmar.net,,,,,
12,17:50,,ggm,yes,Cofacts,,"Code = MIT
Database = CC0","
beta.hackfoldr.org/cofacts",cofacts.g0v.tw,"Fact-checking, crowd-sourcing, chat bot",會 google 的人,,,https://drive.google.com/open?id=1Ih_BJfXevVz2DcjleSUrI7SL5XMN20IDhrkNEQGdycg
