,,,,,,,,,,,,,,,,
,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,線上會議室（坑主可以自己開會議連結或到 Gather Town 佔空房間，請在表單上填網址或 Gather Town 會議室編號）,共筆／討論連結,目前成果／投影片連結,新參者友善（Y/?）,專案三個關鍵字,專案徵人（專長）,坑主聯絡方式,youtube url: 專案報告,youtube url: 成果報告,slides url
09:30開場，09:40提案開始【3分鐘提案報名】每個 present 3min，提案、徵人。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,9:40,,eli,Y,"踏出同溫層,多立場資訊平台",MIT / CC BY-SA 4.0,會場中面對講台的右後方,https://docs.google.com/document/d/1G_oncGAQtPMUNEVuOLdMz8f_U6XXaTgasCjHeA56qM0/edit,https://drive.google.com/file/d/10J_DPPk2g9ewasw2nqN3Te4yY9abjV5q/view?usp=sharing,Y,"偏頗資訊,同溫層,多立場輿情",前端 後端 AI UI/UX 關心議題的人,g0v slack #neutral-info,,,
2,9:43,,"Cheryl, A4",Y,協尋喵星人,CC BY,,https://g0v.hackmd.io/qIDrqaEeTTCsxdjDDdJGmg,https://drive.google.com/file/d/1N_kLFGGL9100kKJ59X7E09dIiN_frETm/view?usp=sharing,Y,"喵可夢, 長期監測系統, 流浪貓認養","前、後端工程師
貓奴",g0v slack #cat,,,
3,9:46, ,Isabel/jothon,Y,九週年：g0v 時間軸以及 10 週年相關,待討論,,https://g0v.hackmd.io/@jothon/from9to10,https://docs.google.com/presentation/d/1QJ0BKXRYsg54kpxVfNWU0kZmPAstfIjX3stDHz7097Q/edit?usp=sharing,Y,"社群,協作,週年慶",想要一起幫 g0v 說故事的人,g0v slack #jothon,,,
4,9:49,,"bil, mrorz",Y,Cofacts 真的假的,MIT / CC BY-SA 4.0,https://gather.town/app/z3x18KQFgZCX8MeZ/cofacts,https://cofacts.tw/hack,https://cofacts.tw/,Y,"crowd sourcing, fact-checking, chatbot","Node.js, React.js engineers, 會上網google、討厭假訊息的人","g0v slack: #cofacts channel , g0v slack @mrorz , @bil",,,https://docs.google.com/presentation/d/1ZyvVZ6mFx49iEC3O8urIVNJPYKBE_mM228_jzWBiy_A/edit
5,9:52,,"deeper, ael",Y,Disfactory,MIT,https://gather.town/app/4KcewWQLKPx6YPlV/Disfactory,https://g0v.hackmd.io/@yukaii/Disfactory/%2FL65HWu17S--qqVyXMmrH_A,https://docs.google.com/presentation/d/1DdphZ2RCVrFLH4L1abM6LZKhsxzPSpT0MrRz9vXmFnI/edit?usp=sharing,Y,違章工廠、公民標注、GIS,"Vue.js, Python Django, Python Flask, Product Manager, SEO, 設計師",g0v slack #disfactory @deeper @ael,,,
6,9:55,,pm5,Y,bridge,MIT,,,https://github.com/g0v/bridge,?,,slack/discord/irc/rocket 聊天工具重度使用者,"g0v slack: #bridge, @pm5",,,
7,9:58,,aurora,n,#decentralizehk,MIT,,https://g0v.hackmd.io/Y1S3ovOsRYmmxj6CjQdh7A?view,https://docs.google.com/presentation/d/1DtJNCNwnvpC8UfXFMUPGMIzdS1oLfIjRwo8PrOSyXKY/edit?usp=sharing,Y,#備份香港 #紀錄歷史 #文化保育,"- 後端（爬蟲）
- 資料彙整
- 關心議題的人",g0v slack #decentralizehk,,,
8,10:01,,chihao,Y,g0v g0v g0v g0v g0v g0v g0v g0v g0v g0v (g0v𐄂10) (g0v 十倍奉還?) 嘉年華,先 CC BY 好了？,,https://g0v.hackmd.io/xEH5jmkuROyZZL4EWe2vQA?both,,Y,g0v 週年慶 十倍奉還,- 所有沒有人,g0v slack @chihao,,,
